Clinician code,Phase,Presentation order,Case code
CLINICIAN_02,Phase B,14,CASE_016
CLINICIAN_02,Phase B,15,CASE_010
CLINICIAN_02,Phase B,16,CASE_011
CLINICIAN_02,Phase B,17,CASE_003
CLINICIAN_02,Phase B,18,CASE_007
CLINICIAN_02,Phase B,19,CASE_013
CLINICIAN_02,Phase B,20,CASE_004
CLINICIAN_03,Phase A,1,CASE_012
CLINICIAN_03,Phase A,2,CASE_006
CLINICIAN_03,Phase A,3,CASE_001
CLINICIAN_03,Phase A,4,CASE_008
CLINICIAN_03,Phase A,5,CASE_004
CLINICIAN_03,Phase A,6,CASE_013
CLINICIAN_03,Phase A,7,CASE_018
CLINICIAN_03,Phase A,8,CASE_017
CLINICIAN_03,Phase A,9,CASE_005
CLINICIAN_03,Phase A,10,CASE_016
CLINICIAN_03,Phase A,11,CASE_014
CLINICIAN_03,Phase A,12,CASE_009
CLINICIAN_03,Phase A,13,CASE_015
CLINICIAN_03,Phase A,14,CASE_002
CLINICIAN_03,Phase A,15,CASE_011
CLINICIAN_03,Phase A,16,CASE_007
CLINICIAN_03,Phase A,17,CASE_010
CLINICIAN_03,Phase A,18,CASE_003
CLINICIAN_03,Phase A,19,CASE_019
CLINICIAN_03,Phase A,20,CASE_020
CLINICIAN_03,Phase B,1,CASE_003
CLINICIAN_03,Phase B,2,CASE_020
CLINICIAN_03,Phase B,3,CASE_007
CLINICIAN_03,Phase B,4,CASE_013
CLINICIAN_03,Phase B,5,CASE_018
CLINICIAN_03,Phase B,6,CASE_010
CLINICIAN_03,Phase B,7,CASE_011
CLINICIAN_03,Phase B,8,CASE_014
CLINICIAN_03,Phase B,9,CASE_005
CLINICIAN_03,Phase B,10,CASE_004
CLINICIAN_03,Phase B,11,CASE_016
CLINICIAN_03,Phase B,12,CASE_015
CLINICIAN_03,Phase B,13,CASE_006
CLINICIAN_03,Phase B,14,CASE_002
CLINICIAN_03,Phase B,15,CASE_019
CLINICIAN_03,Phase B,16,CASE_008
CLINICIAN_03,Phase B,17,CASE_017
CLINICIAN_03,Phase B,18,CASE_012
CLINICIAN_03,Phase B,19,CASE_009
CLINICIAN_03,Phase B,20,CASE_001
CLINICIAN_04,Phase A,1,CASE_017
CLINICIAN_04,Phase A,2,CASE_011
CLINICIAN_04,Phase A,3,CASE_006
CLINICIAN_04,Phase A,4,CASE_004
CLINICIAN_04,Phase A,5,CASE_002
CLINICIAN_04,Phase A,6,CASE_001
CLINICIAN_04,Phase A,7,CASE_016
CLINICIAN_04,Phase A,8,CASE_018
CLINICIAN_04,Phase A,9,CASE_020
CLINICIAN_04,Phase A,10,CASE_013
CLINICIAN_04,Phase A,11,CASE_012
CLINICIAN_04,Phase A,12,CASE_003
CLINICIAN_04,Phase A,13,CASE_007
CLINICIAN_04,Phase A,14,CASE_008
CLINICIAN_04,Phase A,15,CASE_009
CLINICIAN_04,Phase A,16,CASE_010
CLINICIAN_04,Phase A,17,CASE_019
CLINICIAN_04,Phase A,18,CASE_005
CLINICIAN_04,Phase A,19,CASE_015
CLINICIAN_04,Phase A,20,CASE_014
CLINICIAN_04,Phase B,1,CASE_013
CLINICIAN_04,Phase B,2,CASE_020
CLINICIAN_04,Phase B,3,CASE_018
CLINICIAN_04,Phase B,4,CASE_007
CLINICIAN_04,Phase B,5,CASE_005
CLINICIAN_04,Phase B,6,CASE_015
CLINICIAN_04,Phase B,7,CASE_002
CLINICIAN_04,Phase B,8,CASE_012
CLINICIAN_04,Phase B,9,CASE_003
CLINICIAN_04,Phase B,10,CASE_008
CLINICIAN_04,Phase B,11,CASE_001
CLINICIAN_04,Phase B,12,CASE_017
CLINICIAN_04,Phase B,13,CASE_011
CLINICIAN_04,Phase B,14,CASE_019
CLINICIAN_04,Phase B,15,CASE_009
CLINICIAN_04,Phase B,16,CASE_004
CLINICIAN_04,Phase B,17,CASE_006
CLINICIAN_04,Phase B,18,CASE_014
CLINICIAN_04,Phase B,19,CASE_016
CLINICIAN_04,Phase B,20,CASE_010
CLINICIAN_05,Phase A,1,CASE_016
CLINICIAN_05,Phase A,2,CASE_009
CLINICIAN_05,Phase A,3,CASE_018
CLINICIAN_05,Phase A,4,CASE_019
CLINICIAN_05,Phase A,5,CASE_017
CLINICIAN_05,Phase A,6,CASE_008
CLINICIAN_05,Phase A,7,CASE_002
CLINICIAN_05,Phase A,8,CASE_015
CLINICIAN_05,Phase A,9,CASE_011
CLINICIAN_05,Phase A,10,CASE_001
CLINICIAN_05,Phase A,11,CASE_004
CLINICIAN_05,Phase A,12,CASE_003
CLINICIAN_05,Phase A,13,CASE_012
CLINICIAN_05,Phase A,14,CASE_005
CLINICIAN_05,Phase A,15,CASE_014
CLINICIAN_05,Phase A,16,CASE_020
CLINICIAN_05,Phase A,17,CASE_007
CLINICIAN_05,Phase A,18,CASE_013
CLINICIAN_05,Phase A,19,CASE_010
CLINICIAN_05,Phase A,20,CASE_006
CLINICIAN_05,Phase B,1,CASE_014
CLINICIAN_05,Phase B,2,CASE_004
CLINICIAN_05,Phase B,3,CASE_020
CLINICIAN_05,Phase B,4,CASE_011
CLINICIAN_05,Phase B,5,CASE_012
CLINICIAN_05,Phase B,6,CASE_006
CLINICIAN_05,Phase B,7,CASE_002
CLINICIAN_05,Phase B,8,CASE_018
CLINICIAN_05,Phase B,9,CASE_013
CLINICIAN_05,Phase B,10,CASE_015
CLINICIAN_05,Phase B,11,CASE_009
CLINICIAN_05,Phase B,12,CASE_005
CLINICIAN_05,Phase B,13,CASE_016
CLINICIAN_05,Phase B,14,CASE_003
CLINICIAN_05,Phase B,15,CASE_001
CLINICIAN_05,Phase B,16,CASE_010
CLINICIAN_05,Phase B,17,CASE_019
CLINICIAN_05,Phase B,18,CASE_017
CLINICIAN_05,Phase B,19,CASE_008
CLINICIAN_05,Phase B,20,CASE_007
